Strain,0uM[%],1uM[%],2uM[%],5uM[%],10uM[%],20uM[%],50uM[%]
WB,100,103.70400064138539,106.68249396746322,55.33407872922852,17.108960349672184,3.8317487755690003,1.0653942939311742
C6NR,100,125.3257790368272,98.89213328753006,53.390526345593024,18.59403206966125,3.9846493018698457,1.2997714103450109
C60.5,100,113.13746683698535,90.01390820584145,100,101.96120689655173,67.26889900156218,23.037959233492007
C6aI,100,104.22759253594371,122.60239760239759,116.50392625469443,64.05320713691884,32.59889055938618,9.494626114795334
