Conc,WB,C6NR,C60.5,C6aI
1e-20,100,100,100,100
1,103.70400064138539,125.3257790368272,113.13746683698535,104.22759253594371
2,106.68249396746322,98.89213328753006,90.01390820584145,122.60239760239759
5,55.33407872922852,53.390526345593024,104.41968601813913,116.50392625469443
10,17.108960349672184,18.59403206966125,101.96120689655173,64.05320713691884
20,3.8317487755690003,3.9846493018698457,67.26889900156218,32.59889055938618
50,1.0653942939311742,1.2997714103450109,23.037959233492007,9.494626114795334
